stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\keli_\OneDrive\Área de Trabalho\Projeto-Manhattan\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   1.49123] added dtor for sub_bitmap 00000283EBCB63B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49142] added dtor for sub_bitmap 00000283EBCB5A00, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49167] added dtor for sub_bitmap 00000283EBCB99C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49210] added dtor for sub_bitmap 00000283EBCB8280, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49425] added dtor for sub_bitmap 00000283EBCB9DA0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49624] added dtor for sub_bitmap 00000283EBCB8470, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49688] added dtor for sub_bitmap 00000283EBCB8660, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49704] added dtor for sub_bitmap 00000283EBCB8C30, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49718] added dtor for sub_bitmap 00000283EBCB8E20, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49754] added dtor for sub_bitmap 00000283EBCB8850, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49769] added dtor for sub_bitmap 00000283EBCB9010, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49838] added dtor for sub_bitmap 00000283EBCB8A40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49888] added dtor for sub_bitmap 00000283EBCB9200, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49923] added dtor for sub_bitmap 00000283EBCB93F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.49954] added dtor for sub_bitmap 00000283EBCB95E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50184] added dtor for sub_bitmap 00000283EBCB97D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50318] added dtor for sub_bitmap 00000283EBCB9BB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50404] added dtor for sub_bitmap 00000283EBCB8090, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50463] added dtor for sub_bitmap 00000283EBCBAE30, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50492] added dtor for sub_bitmap 00000283EBCBA480, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50532] added dtor for sub_bitmap 00000283EBCBB020, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50552] added dtor for sub_bitmap 00000283EBCBB210, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50574] added dtor for sub_bitmap 00000283EBCBA0A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50588] added dtor for sub_bitmap 00000283EBCBB7E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50606] added dtor for sub_bitmap 00000283EBCBAA50, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50621] added dtor for sub_bitmap 00000283EBCBA290, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50644] added dtor for sub_bitmap 00000283EBCBAC40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50662] added dtor for sub_bitmap 00000283EBCBB400, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50676] added dtor for sub_bitmap 00000283EBCBB5F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50698] added dtor for sub_bitmap 00000283EBCBB9D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50713] added dtor for sub_bitmap 00000283EBCBBBC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50738] added dtor for sub_bitmap 00000283EBCBBDB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50754] added dtor for sub_bitmap 00000283EBCBA670, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50769] added dtor for sub_bitmap 00000283EBCBA860, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50799] added dtor for sub_bitmap 00000283EBCBF240, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50839] added dtor for sub_bitmap 00000283EBCBE2C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50886] added dtor for sub_bitmap 00000283EBCBE4B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50902] added dtor for sub_bitmap 00000283EBCBFA00, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50916] added dtor for sub_bitmap 00000283EBCBE6A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50939] added dtor for sub_bitmap 00000283EBCBFDE0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50952] added dtor for sub_bitmap 00000283EBCBE890, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50967] added dtor for sub_bitmap 00000283EBCBEA80, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.50990] added dtor for sub_bitmap 00000283EBCBEC70, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51004] added dtor for sub_bitmap 00000283EBCBEE60, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51017] added dtor for sub_bitmap 00000283EBCBF050, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51041] added dtor for sub_bitmap 00000283EBCBF430, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51057] added dtor for sub_bitmap 00000283EBCBF620, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51072] added dtor for sub_bitmap 00000283EBCBF810, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51351] added dtor for sub_bitmap 00000283EBCBFBF0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51393] added dtor for sub_bitmap 00000283EBCBE0D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51414] added dtor for sub_bitmap 00000283EBCC2990, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51445] added dtor for sub_bitmap 00000283EBCC1DF0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51516] added dtor for sub_bitmap 00000283EBCC0E70, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51536] added dtor for sub_bitmap 00000283EBCC1FE0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51588] added dtor for sub_bitmap 00000283EBCC08A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51606] added dtor for sub_bitmap 00000283EBCC21D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51669] added dtor for sub_bitmap 00000283EBCC27A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51721] added dtor for sub_bitmap 00000283EBCC2B80, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51738] added dtor for sub_bitmap 00000283EBCC2D70, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51753] added dtor for sub_bitmap 00000283EBCC1250, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51768] added dtor for sub_bitmap 00000283EBCC06B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51787] added dtor for sub_bitmap 00000283EBCC04C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51803] added dtor for sub_bitmap 00000283EBCC23C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51820] added dtor for sub_bitmap 00000283EBCC3720, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51834] added dtor for sub_bitmap 00000283EBCC00E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51849] added dtor for sub_bitmap 00000283EBCC2F60, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51861] added dtor for sub_bitmap 00000283EBCC25B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51873] added dtor for sub_bitmap 00000283EBCC3910, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51886] added dtor for sub_bitmap 00000283EBCC3150, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51898] added dtor for sub_bitmap 00000283EBCC0A90, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51910] added dtor for sub_bitmap 00000283EBCC3340, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51921] added dtor for sub_bitmap 00000283EBCC02D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51936] added dtor for sub_bitmap 00000283EBCC0C80, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51948] added dtor for sub_bitmap 00000283EBCC1060, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51960] added dtor for sub_bitmap 00000283EBCC1440, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51973] added dtor for sub_bitmap 00000283EBCC3530, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51983] added dtor for sub_bitmap 00000283EBCC3B00, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.51996] added dtor for sub_bitmap 00000283EBCC3CF0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52010] added dtor for sub_bitmap 00000283EBCC1630, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52022] added dtor for sub_bitmap 00000283EBCC1820, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52035] added dtor for sub_bitmap 00000283EBCC1A10, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52049] added dtor for sub_bitmap 00000283EBCC1C00, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52066] added dtor for sub_bitmap 00000283EBCCAB30, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52081] added dtor for sub_bitmap 00000283EBCC7300, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52093] added dtor for sub_bitmap 00000283EBCCAD20, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52111] added dtor for sub_bitmap 00000283EBCC7110, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52125] added dtor for sub_bitmap 00000283EBCCA180, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52144] added dtor for sub_bitmap 00000283EBCCA370, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52158] added dtor for sub_bitmap 00000283EBCC8A40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52173] added dtor for sub_bitmap 00000283EBCC8470, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52204] added dtor for sub_bitmap 00000283EBCC7AC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52254] added dtor for sub_bitmap 00000283EBCC8280, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52321] added dtor for sub_bitmap 00000283EBCC9DA0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52351] added dtor for sub_bitmap 00000283EBCCA560, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52371] added dtor for sub_bitmap 00000283EBCC74F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52394] added dtor for sub_bitmap 00000283EBCC76E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52419] added dtor for sub_bitmap 00000283EBCC78D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52440] added dtor for sub_bitmap 00000283EBCC99C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52462] added dtor for sub_bitmap 00000283EBCCA750, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52494] added dtor for sub_bitmap 00000283EBCC9BB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52536] added dtor for sub_bitmap 00000283EBCC7CB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52596] added dtor for sub_bitmap 00000283EBCC7EA0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52765] added dtor for sub_bitmap 00000283EBCC8090, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52844] added dtor for sub_bitmap 00000283EBCC97D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52859] added dtor for sub_bitmap 00000283EBCC8660, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52932] added dtor for sub_bitmap 00000283EBCC8850, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52950] added dtor for sub_bitmap 00000283EBCCA940, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52966] added dtor for sub_bitmap 00000283EBCC8C30, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.52997] added dtor for sub_bitmap 00000283EBCC8E20, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53010] added dtor for sub_bitmap 00000283EBCC9010, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53024] added dtor for sub_bitmap 00000283EBCC9200, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53038] added dtor for sub_bitmap 00000283EBCC93F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53053] added dtor for sub_bitmap 00000283EBCC95E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53083] added dtor for sub_bitmap 00000283EBCC9F90, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53107] added dtor for sub_bitmap 00000283EBCCC8F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53133] added dtor for sub_bitmap 00000283EBCCD680, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53167] added dtor for sub_bitmap 00000283EBCCEFB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53181] added dtor for sub_bitmap 00000283EBCCF1A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53194] added dtor for sub_bitmap 00000283EBCCE7F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53207] added dtor for sub_bitmap 00000283EBCCCAE0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53221] added dtor for sub_bitmap 00000283EBCCEBD0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53267] added dtor for sub_bitmap 00000283EBCCE220, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53294] added dtor for sub_bitmap 00000283EBCCDA60, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53312] added dtor for sub_bitmap 00000283EBCCD870, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53330] added dtor for sub_bitmap 00000283EBCCE9E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53345] added dtor for sub_bitmap 00000283EBCCE410, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53384] added dtor for sub_bitmap 00000283EBCCE600, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53405] added dtor for sub_bitmap 00000283EBCCCCD0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53466] added dtor for sub_bitmap 00000283EBCCF390, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53487] added dtor for sub_bitmap 00000283EBCCF580, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53701] added dtor for sub_bitmap 00000283EBCCF770, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53744] added dtor for sub_bitmap 00000283EBCCCEC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53761] added dtor for sub_bitmap 00000283EBCCF960, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53776] added dtor for sub_bitmap 00000283EBCCFB50, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53791] added dtor for sub_bitmap 00000283EBCCEDC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53804] added dtor for sub_bitmap 00000283EBCCC700, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53815] added dtor for sub_bitmap 00000283EBCCC510, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53828] added dtor for sub_bitmap 00000283EBCCFD40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53853] added dtor for sub_bitmap 00000283EBCCD0B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53868] added dtor for sub_bitmap 00000283EBCCC130, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53886] added dtor for sub_bitmap 00000283EBCCD2A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53911] added dtor for sub_bitmap 00000283EBCCD490, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.53929] added dtor for sub_bitmap 00000283EBCCDC50, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54004] added dtor for sub_bitmap 00000283EBCCDE40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54022] added dtor for sub_bitmap 00000283EBCCE030, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54061] added dtor for sub_bitmap 00000283EBCCC320, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54084] added dtor for sub_bitmap 00000283EBCD3490, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54270] added dtor for sub_bitmap 00000283EBCD3680, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54621] added dtor for sub_bitmap 00000283EBCD3E40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54732] added dtor for sub_bitmap 00000283EBCD2CD0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54757] added dtor for sub_bitmap 00000283EBCD3870, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54774] added dtor for sub_bitmap 00000283EBCD1780, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54790] added dtor for sub_bitmap 00000283EBCD51A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54811] added dtor for sub_bitmap 00000283EBCD1D50, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54854] added dtor for sub_bitmap 00000283EBCD32A0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54949] added dtor for sub_bitmap 00000283EBCD2320, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.55040] added dtor for sub_bitmap 00000283EBCD3A60, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.55207] added dtor for sub_bitmap 00000283EBCD4BD0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.55458] added dtor for sub_bitmap 00000283EBCD4030, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.55625] added dtor for sub_bitmap 00000283EBCD4410, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.55877] added dtor for sub_bitmap 00000283EBCD4DC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.56278] added dtor for sub_bitmap 00000283EBCD4FB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.56428] added dtor for sub_bitmap 00000283EBCD1970, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.56978] added dtor for sub_bitmap 00000283EBCD1B60, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57218] added dtor for sub_bitmap 00000283EBCD1F40, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57439] added dtor for sub_bitmap 00000283EBCD3C50, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57547] added dtor for sub_bitmap 00000283EBCD1590, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57590] added dtor for sub_bitmap 00000283EBCD2130, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57607] added dtor for sub_bitmap 00000283EBCD2EC0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57621] added dtor for sub_bitmap 00000283EBCD2510, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57635] added dtor for sub_bitmap 00000283EBCD4600, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57650] added dtor for sub_bitmap 00000283EBCD4220, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57669] added dtor for sub_bitmap 00000283EBCD47F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57685] added dtor for sub_bitmap 00000283EBCD2700, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57711] added dtor for sub_bitmap 00000283EBCD49E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57729] added dtor for sub_bitmap 00000283EBCD28F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58005] added dtor for sub_bitmap 00000283EBCD2AE0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58064] added dtor for sub_bitmap 00000283EBCD30B0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58111] added dtor for sub_bitmap 00000283EBCE0450, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58570] added dtor for sub_bitmap 00000283EBCDF2E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58674] added dtor for sub_bitmap 00000283EBCDB2F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58717] added dtor for sub_bitmap 00000283EBCDB4E0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58796] added dtor for sub_bitmap 00000283EBCE0E00, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.58844] added dtor for sub_bitmap 00000283EBCDC650, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59119] added dtor for sub_bitmap 00000283EBCDA180, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59158] added dtor for sub_bitmap 00000283EBCDA560, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59209] added dtor for sub_bitmap 00000283EBCDC460, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59325] added dtor for sub_bitmap 00000283EBCDED10, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59354] added dtor for sub_bitmap 00000283EBCE0830, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59575] added dtor for sub_bitmap 00000283EBCE0260, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59848] added dtor for sub_bitmap 00000283EBCDEF00, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59976] added dtor for sub_bitmap 00000283EBCDDD90, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60068] added dtor for sub_bitmap 00000283EBCDE360, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60256] added dtor for sub_bitmap 00000283EBCE0640, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60293] added dtor for sub_bitmap 00000283EBCDAB30, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60353] added dtor for sub_bitmap 00000283EBCDD1F0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60449] added dtor for sub_bitmap 00000283EBCDB6D0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60475] added dtor for sub_bitmap 00000283EBCDB100, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60520] added dtor for sub_bitmap 00000283EBCD9DA0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60685] added dtor for sub_bitmap 00000283EBCDCC20, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60927] added dtor for sub_bitmap 00000283EBCDE550, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.60951] added dtor for sub_bitmap 00000283EBCDB8C0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.61054] added dtor for sub_bitmap 00000283EBCD9BB0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.61077] added dtor for sub_bitmap 00000283EBCDCE10, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.61764] added dtor for sub_bitmap 00000283EBCDFE80, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.61986] added dtor for sub_bitmap 00000283EBCDBCA0, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.62026] added dtor for sub_bitmap 00000283EBCDA750, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.62189] added dtor for sub_bitmap 00000283EBCE0A20, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.62212] added dtor for sub_bitmap 00000283EBCDD000, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.62249] added dtor for sub_bitmap 00000283EBCDC840, func 00007FFC006D118B
dtor     D               dtor.c:196  _al_register_destructor          [   1.62385] added dtor for sub_bitmap 00000283EBCDF6C0, func 00007FFC006D118B
